Team,Description,Runs,Hits,Doubles,Triples,HomeRuns
ARI,Arizona Diamondbacks,813,1419,288,40,220
ATL,Atlanta Braves,855,1432,277,29,249
BAL,Baltimore Orioles,729,1379,252,25,213
BOS,Boston Red Sox,901,1554,345,27,245
CHC,Chicago Cubs,814,1378,270,26,256
CHW,Chicago White Sox,708,1443,260,20,182
CIN,Cincinnati Reds,701,1328,235,27,227
CLE,Cleveland Indians,769,1354,286,18,223
COL,Colorado Rockies,835,1502,323,41,224
DET,Detroit Tigers,582,1333,292,41,149
HOU,Houston Astros,920,1538,323,28,288
KCR,Kansas City Royals,691,1356,281,40,162
LAA,Los Angeles Angels,769,1368,268,21,220
LAD,Los Angeles Dodgers,886,1414,302,20,279
MIA,Miami Marlins,615,1326,265,18,146
MIL,Milwaukee Brewers,769,1366,279,17,250
MIN,Minnesota Twins,939,1547,318,23,307
NYM,New York Mets,791,1445,280,17,242
NYY,New York Yankees,943,1493,290,17,306
OAK,Oakland Athletics,845,1384,292,23,257
PHI,Philadelphia Phillies,774,1369,311,26,215
PIT,Pittsburgh Pirates,758,1497,315,38,163
SDP,San Diego Padres,682,1281,224,24,219
SEA,Seattle Mariners,758,1305,254,28,239
SFG,San Francisco Giants,678,1332,300,26,167
STL,St. Louis Cardinals,764,1336,246,24,210
TBR,Tampa Bay Rays,769,1427,291,29,217
TEX,Texas Rangers,810,1374,296,24,223
TOR,Toronto Blue Jays,726,1299,270,21,247
